,State,Crime Rate,Year,Total,Number,Standard error,Poverty Percent
338,Rhode Island,3.4,2012,1034,141,12,13.6
339,South Carolina,7.0,2012,4667,779,63,16.7
340,South Dakota,2.8,2012,822,106,11,12.8
341,Tennessee,6.2,2012,6422,1194,118,18.6
342,Texas,4.4,2012,26063,4444,192,17.0
343,Utah,1.8,2012,2849,312,45,11.0
344,Vermont,1.3,2012,615,69,7,11.2
345,Virginia,3.9,2012,7994,850,89,10.6
346,Washington,3.1,2012,6856,796,58,11.6
347,West Virginia,3.8,2012,1803,301,40,16.7
348,Wisconsin,3.0,2012,5628,640,49,11.4
349,Wyoming,2.4,2012,577,56,7,9.6
350,Alabama,7.2,2013,4751,796,67,16.7
351,Alaska,4.6,2013,696,76,12,10.9
352,Arizona,5.4,2013,6645,1345,93,20.2
353,Arkansas,5.4,2013,2940,504,69,17.1
354,California,4.6,2013,38054,5675,214,14.9
355,Colorado,3.4,2013,5289,560,54,10.6
356,Connecticut,2.4,2013,3545,400,36,11.3
357,Delaware,4.2,2013,907,127,14,14.0
358,Florida,5.0,2013,19371,2888,177,14.9
359,Georgia,5.6,2013,9787,1592,121,16.3
360,Hawaii,1.5,2013,1368,152,16,11.1
361,Idaho,1.7,2013,1592,205,30,12.9
362,Illinois,5.5,2013,12779,1695,117,13.3
363,Indiana,5.4,2013,6398,743,76,11.6
364,Iowa,1.4,2013,3066,330,31,10.8
365,Kansas,3.9,2013,2830,373,32,13.2
366,Kentucky,3.8,2013,4360,871,63,20.0
367,Louisiana,10.8,2013,4504,863,95,19.2
368,Maine,1.8,2013,1310,161,17,12.3
369,Maryland,6.4,2013,5933,611,51,10.3
370,Massachusetts,2.0,2013,6570,784,93,11.9
371,Michigan,6.4,2013,9840,1428,118,14.5
372,Minnesota,2.1,2013,5398,649,60,12.0
373,Mississippi,6.5,2013,2918,657,57,22.5
374,Missouri,6.1,2013,5997,824,90,13.7
375,Montana,2.2,2013,998,145,20,14.5
376,Nebraska,3.1,2013,1838,202,23,11.0
377,Nevada,5.8,2013,2760,480,52,17.4
378,New Hampshire,1.7,2013,1317,119,12,9.0
379,New Jersey,4.5,2013,8842,984,120,11.1
380,New Mexico,6.0,2013,2099,454,46,21.7
381,New York,3.3,2013,19488,2825,164,14.5
382,North Carolina,4.8,2013,9619,1793,161,18.6
383,North Dakota,2.2,2013,711,71,10,9.9
384,Ohio,3.9,2013,11468,1571,138,13.7
385,Oklahoma,5.1,2013,3708,518,79,14.0
386,Oregon,2.0,2013,3934,593,56,15.1
387,Pennsylvania,4.7,2013,12738,1576,133,12.4
388,Rhode Island,2.9,2013,1048,142,13,13.5
389,South Carolina,6.2,2013,4679,745,95,15.9
390,South Dakota,2.4,2013,833,85,12,10.3
391,Tennessee,5.0,2013,6453,1170,114,18.1
392,Texas,4.3,2013,26383,4425,232,16.8
393,Utah,1.7,2013,2877,239,32,8.3
394,Vermont,1.6,2013,619,54,6,8.7
395,Virginia,3.8,2013,8174,854,100,10.4
396,Washington,2.3,2013,6854,819,81,12.0
397,West Virginia,3.3,2013,1823,315,35,17.3
398,Wisconsin,2.8,2013,5625,618,70,11.0
399,Wyoming,2.9,2013,578,68,6,11.8
400,Alabama,5.7,2014,4765,848,53,17.8
401,Alaska,5.6,2014,694,82,8,11.9
402,Arizona,4.7,2014,6657,1409,76,21.2
403,Arkansas,5.6,2014,2891,532,44,18.4
404,California,4.4,2014,38666,6112,218,15.8
405,Colorado,2.8,2014,5376,661,72,12.3
406,Connecticut,2.4,2014,3577,308,44,8.6
407,Delaware,5.8,2014,929,103,10,11.0
408,Florida,5.8,2014,19694,3282,150,16.7
409,Georgia,5.7,2014,9948,1676,92,16.8
410,Hawaii,1.8,2014,1365,147,16,10.8
411,Idaho,2.0,2014,1606,199,22,12.4
412,Illinois,5.3,2014,12774,1756,111,13.7
413,Indiana,5.0,2014,6470,948,85,14.6
414,Iowa,1.9,2014,3078,317,33,10.3
415,Kansas,3.1,2014,2851,345,31,12.1
416,Kentucky,3.6,2014,4299,861,69,20.0
417,Louisiana,10.3,2014,4550,1049,53,23.1
418,Maine,1.6,2014,1300,190,20,14.6
419,Maryland,6.1,2014,5934,584,55,9.8
420,Massachusetts,2.0,2014,6653,902,71,13.6
421,Michigan,5.4,2014,9893,1462,90,14.8
422,Minnesota,1.6,2014,5417,447,53,8.3
423,Mississippi,8.6,2014,2961,654,37,22.1
424,Missouri,6.6,2014,5950,620,54,10.4
425,Montana,3.6,2014,1008,121,13,12.0
426,Nebraska,2.9,2014,1873,221,23,11.8
427,Nevada,6.0,2014,2819,478,45,17.0
428,New Hampshire,0.9,2014,1318,95,11,7.2
429,New Jersey,3.9,2014,8938,1013,90,11.3
430,New Mexico,4.8,2014,2030,406,33,20.0
431,New York,3.1,2014,19658,2755,144,14.0
432,North Carolina,5.1,2014,9823,1678,117,17.1
433,North Dakota,3.0,2014,731,71,5,9.7
434,Ohio,4.0,2014,11505,1792,109,15.6
435,Oklahoma,4.5,2014,3728,647,51,17.3
436,Oregon,2.0,2014,3955,570,47,14.4
437,Pennsylvania,4.8,2014,12620,1581,104,12.5
438,Rhode Island,2.4,2014,1046,119,14,11.3
439,South Carolina,6.4,2014,4764,788,51,16.5
440,South Dakota,2.3,2014,846,109,14,12.8
441,Tennessee,5.7,2014,6496,1122,75,17.3
442,Texas,4.4,2014,26676,4364,173,16.4
443,Utah,2.3,2014,2928,298,36,10.2
444,Vermont,1.6,2014,615,57,6,9.3
445,Virginia,4.1,2014,8257,842,73,10.2
446,Washington,2.5,2014,7079,852,82,12.0
447,West Virginia,4.0,2014,1822,376,30,20.6
448,Wisconsin,2.9,2014,5742,628,55,10.9
449,Wyoming,2.7,2014,572,55,6,9.7
