STATE,Total,Number,Standard error,Percent
Alabama,4532,650,56,14.3
Alaska,658,58,7,8.9
Arizona,6256,902,71,14.4
Arkansas,2748,487,38,17.7
California,36160,4427,160,12.2
Colorado,4797,466,52,9.7
Connecticut,3457,275,34,8
Delaware,858,80,9,9.3
D.C.,569,104,9,18.3
Florida,18029,2068,104,11.5
Georgia,9334,1172,76,12.6
Hawaii,1254,116,13,9.2
Idaho,1472,141,16,9.5
Illinois,12633,1338,85,10.6
Indiana,6334,674,59,10.6
Iowa,2913,301,33,10.3
Kansas,2719,349,34,12.8
Kentucky,4106,690,56,16.8
Louisiana,4206,713,57,17
Maine,1313,134,16,10.2
Maryland,5607,469,51,8.4
Massachusetts,6324,758,61,12
Michigan,9953,1323,81,13.3
Minnesota,5145,422,47,8.2
Mississippi,2887,596,42,20.6
Missouri,5797,659,58,11.4
Montana,930,125,12,13.5
Nebraska,1765,180,20,10.2
Nevada,2530,241,28,9.5
New Hampshire,1308,71,11,5.4
New Jersey,8650,762,64,8.8
New Mexico,1939,328,29,16.9
New York,19021,2668,119,14
North Carolina,8847,1225,79,13.8
North Dakota,615,70,7,11.4
Ohio,11297,1371,83,12.1
Oklahoma,3489,531,47,15.2
Oregon,3705,439,45,11.8
Pennsylvania,12326,1397,84,11.3
Rhode Island,1054,110,13,10.5
South Carolina,4224,474,49,11.2
South Dakota,770,82,8,10.7
Tennessee,5916,879,65,14.9
Texas,23208,3816,147,16.4
Utah,2536,235,25,9.3
Vermont,618,48,6,7.8
Virginia,7532,651,58,8.6
Washington,6310,502,53,8
West Virginia,1810,277,22,15.3
Wisconsin,5471,555,54,10.1
Wyoming,516,51,6,10
