STATE,Total,Number,Standard error,Percent
Alabama,4751,796,67,16.7
Alaska,696,76,12,10.9
Arizona,6645,1345,93,20.2
Arkansas,2940,504,69,17.1
California,38054,5675,214,14.9
Colorado,5289,560,54,10.6
Connecticut,3545,400,36,11.3
Delaware,907,127,14,14
District of Columbia,650,139,11,21.3
Florida,19371,2888,177,14.9
Georgia,9787,1592,121,16.3
Hawaii,1368,152,16,11.1
Idaho,1592,205,30,12.9
Illinois,12779,1695,117,13.3
Indiana,6398,743,76,11.6
Iowa,3066,330,31,10.8
Kansas,2830,373,32,13.2
Kentucky,4360,871,63,20
Louisiana,4504,863,95,19.2
Maine,1310,161,17,12.3
Maryland,5933,611,51,10.3
Massachusetts,6570,784,93,11.9
Michigan,9840,1428,118,14.5
Minnesota,5398,649,60,12
Mississippi,2918,657,57,22.5
Missouri,5997,824,90,13.7
Montana,998,145,20,14.5
Nebraska,1838,202,23,11
Nevada,2760,480,52,17.4
New Hampshire,1317,119,12,9
New Jersey,8842,984,120,11.1
New Mexico,2099,454,46,21.7
New York,19488,2825,164,14.5
North Carolina,9619,1793,161,18.6
North Dakota,711,71,10,9.9
Ohio,11468,1571,138,13.7
Oklahoma,3708,518,79,14
Oregon,3934,593,56,15.1
Pennsylvania,12738,1576,133,12.4
Rhode Island,1048,142,13,13.5
South Carolina,4679,745,95,15.9
South Dakota,833,85,12,10.3
Tennessee,6453,1170,114,18.1
Texas,26383,4425,232,16.8
Utah,2877,239,32,8.3
Vermont,619,54,6,8.7
Virginia,8174,854,100,10.4
Washington,6854,819,81,12
West Virginia,1823,315,35,17.3
Wisconsin,5625,618,70,11
Wyoming,578,68,6,11.8
