STATE,Total,Number,Standard error,Percent
Alabama,4808,777,91,16.2
Alaska,702,70,8,10
Arizona,6642,1260,111,19
Arkansas,2909,584,51,20.1
California,37912,6015,192,15.9
Colorado,5153,613,61,11.9
Connecticut,3517,363,30,10.3
Delaware,900,121,11,13.5
D.C.,632,116,9,18.4
Florida,19166,2926,128,15.3
Georgia,9665,1752,134,18.1
Hawaii,1356,188,21,13.8
Idaho,1588,229,22,14.4
Illinois,12727,1608,98,12.6
Indiana,6343,964,70,15.2
Iowa,3010,310,22,10.3
Kansas,2828,397,34,14
Kentucky,4342,776,66,17.9
Louisiana,4465,944,99,21.1
Maine,1330,170,14,12.8
Maryland,5892,585,47,9.9
Massachusetts,6566,743,59,11.3
Michigan,9731,1331,95,13.7
Minnesota,5353,534,47,10
Mississippi,2893,636,55,22
Missouri,5956,905,86,15.2
Montana,999,134,15,13.4
Nebraska,1849,226,25,12.2
Nevada,2735,433,32,15.8
New Hampshire,1308,106,11,8.1
New Jersey,8720,814,73,9.3
New Mexico,2064,420,44,20.4
New York,19298,3328,131,17.2
North Carolina,9634,1652,126,17.2
North Dakota,692,79,7,11.4
Ohio,11398,1751,119,15.4
Oklahoma,3700,668,46,18
Oregon,3872,523,40,13.5
Pennsylvania,12664,1756,111,13.9
Rhode Island,1034,141,12,13.6
South Carolina,4667,779,63,16.7
South Dakota,822,106,11,12.8
Tennessee,6422,1194,118,18.6
Texas,26063,4444,192,17
Utah,2849,312,45,11
Vermont,615,69,7,11.2
Virginia,7994,850,89,10.6
Washington,6856,796,58,11.6
West Virginia,1803,301,40,16.7
Wisconsin,5628,640,49,11.4
Wyoming,577,56,7,9.6
