STATE,Total,Number,Standard error,Percent
Alabama,4566,662,56,14.5
Alaska,675,51,7,7.6
Arizona,6365,912,71,14.3
Arkansas,2803,387,35,13.8
California,36247,4589,163,12.7
Colorado,4872,478,52,9.8
Connecticut,3471,309,36,8.9
Delaware,861,80,9,9.3
D.C.,580,104,9,18
Florida,18044,2250,108,12.5
Georgia,9486,1294,80,13.6
Hawaii,1264,94,12,7.5
Idaho,1501,149,16,9.9
Illinois,12680,1262,82,10
Indiana,6258,740,61,11.8
Iowa,2965,264,31,8.9
Kansas,2720,319,33,11.7
Kentucky,4202,653,55,15.5
Louisiana,4186,673,56,16.1
Maine,1312,142,16,10.9
Maryland,5560,491,52,8.8
Massachusetts,6336,707,59,11.2
Michigan,9919,1076,74,10.8
Minnesota,5188,482,50,9.3
Mississippi,2895,655,44,22.6
Missouri,5783,742,62,12.8
Montana,938,122,12,13
Nebraska,1751,174,20,9.9
Nevada,2566,250,28,9.7
New Hampshire,1312,76,11,5.8
New Jersey,8548,742,63,8.7
New Mexico,1941,271,27,14
New York,19021,2757,121,14.5
North Carolina,9170,1423,84,15.5
North Dakota,614,57,7,9.3
Ohio,11280,1446,85,12.8
Oklahoma,3551,476,44,13.4
Oregon,3761,481,47,12.8
Pennsylvania,12297,1273,81,10.4
Rhode Island,1042,99,12,9.5
South Carolina,4380,617,54,14.1
South Dakota,787,74,8,9.4
Tennessee,6137,906,66,14.8
Texas,23653,3903,148,16.5
Utah,2651,255,26,9.6
Vermont,613,61,7,9.9
Virginia,7678,664,59,8.6
Washington,6503,661,60,10.2
West Virginia,1793,265,22,14.8
Wisconsin,5458,601,56,11
Wyoming,518,56,6,10.9
