STATE,Total,Number,Standard error,Percent
Alabama,4716,675,57,14.3
Alaska,672,55,7,8.2
Arizona,6529,1172,79,18
Arkansas,2822,431,36,15.3
California,36637,5344,174,14.6
Colorado,4908,541,55,11
Connecticut,3433,276,34,8.1
Delaware,861,82,9,9.6
D.C.,590,98,9,16.5
Florida,18022,2370,110,13.1
Georgia,9541,1477,84,15.5
Hawaii,1255,125,13,9.9
Idaho,1515,185,18,12.2
Illinois,12687,1564,90,12.3
Indiana,6288,901,66,14.3
Iowa,2986,285,32,9.5
Kansas,2716,346,34,12.7
Kentucky,4246,724,58,17.1
Louisiana,4326,788,60,18.2
Maine,1317,158,17,12
Maryland,5528,481,51,8.7
Massachusetts,6420,727,60,11.3
Michigan,9806,1273,80,13
Minnesota,5120,506,51,9.9
Mississippi,2900,525,40,18.1
Missouri,5861,780,63,13.3
Montana,973,125,12,12.9
Nebraska,1774,188,20,10.6
Nevada,2581,278,30,10.8
New Hampshire,1300,91,12,7
New Jersey,8515,787,65,9.2
New Mexico,1977,381,31,19.3
New York,19309,2734,120,14.2
North Carolina,9234,1285,80,13.9
North Dakota,625,74,7,11.8
Ohio,11386,1557,88,13.7
Oklahoma,3550,484,45,13.6
Oregon,3806,403,44,10.6
Pennsylvania,12178,1335,83,11
Rhode Island,1042,132,14,12.7
South Carolina,4462,624,55,14
South Dakota,794,104,9,13.1
Tennessee,6163,924,67,15
Texas,24174,3834,148,15.9
Utah,2754,209,23,7.6
Vermont,610,55,7,9
Virginia,7735,799,64,10.3
Washington,6526,680,61,10.4
West Virginia,1796,260,21,14.5
Wisconsin,5548,544,53,9.8
Wyoming,529,54,6,10.1
