STATE,Total,Number,Standard error,Percent
Alabama,4820,784,60,16.3
Alaska,703,65,6,9.2
Arizona,6728,1156,84,17.2
Arkansas,2951,475,27,16.1
California,39081,5441,211,13.9
Colorado,5420,538,69,9.9
Connecticut,3572,324,43,9.1
Delaware,958,106,12,11.1
District of Columbia,676,113,8,16.6
Florida,20071,3253,176,16.2
Georgia,10100,1833,111,18.1
Hawaii,1382,151,16,10.9
Idaho,1657,204,21,12.3
Illinois,12683,1380,104,10.9
Indiana,6502,880,72,13.5
Iowa,3100,321,39,10.4
Kansas,2849,404,42,14.2
Kentucky,4365,851,57,19.5
Louisiana,4599,854,57,18.6
Maine,1340,165,20,12.3
Maryland,5892,566,70,9.6
Massachusetts,6777,782,65,11.5
Michigan,9852,1259,98,12.8
Minnesota,5458,428,58,7.8
Mississippi,2947,563,33,19.1
Missouri,5946,582,71,9.8
Montana,1018,121,12,11.9
Nebraska,1858,192,18,10.3
Nevada,2864,371,36,13
New Hampshire,1293,94,13,7.3
New Jersey,8936,1004,95,11.2
New Mexico,2036,400,28,19.7
New York,19645,2791,156,14.2
North Carolina,9887,1509,95,15.3
North Dakota,763,82,12,10.7
Ohio,11435,1550,105,13.6
Oklahoma,3887,551,45,14.2
Oregon,4029,478,69,11.9
Pennsylvania,12564,1542,107,12.3
Rhode Island,1044,123,16,11.8
South Carolina,4790,683,56,14.3
South Dakota,848,118,10,13.9
Tennessee,6605,973,70,14.7
Texas,27396,4036,207,14.7
Utah,3004,279,30,9.3
Vermont,609,65,8,10.7
Virginia,8216,894,81,10.9
Washington,7193,819,54,11.4
West Virginia,1795,261,46,14.5
Wisconsin,5736,654,68,11.4
Wyoming,574,56,8,9.8
