STATE,Total,Number,Standard error,Percent
Alabama,4765,848,53,17.8
Alaska,694,82,8,11.9
Arizona,6657,1409,76,21.2
Arkansas,2891,532,44,18.4
California,38666,6112,218,15.8
Colorado,5376,661,72,12.3
Connecticut,3577,308,44,8.6
Delaware,929,103,10,11
District of Columbia,657,125,9,19
Florida,19694,3282,150,16.7
Georgia,9948,1676,92,16.8
Hawaii,1365,147,16,10.8
Idaho,1606,199,22,12.4
Illinois,12774,1756,111,13.7
Indiana,6470,948,85,14.6
Iowa,3078,317,33,10.3
Kansas,2851,345,31,12.1
Kentucky,4299,861,69,20
Louisiana,4550,1049,53,23.1
Maine,1300,190,20,14.6
Maryland,5934,584,55,9.8
Massachusetts,6653,902,71,13.6
Michigan,9893,1462,90,14.8
Minnesota,5417,447,53,8.3
Mississippi,2961,654,37,22.1
Missouri,5950,620,54,10.4
Montana,1008,121,13,12
Nebraska,1873,221,23,11.8
Nevada,2819,478,45,17
New Hampshire,1318,95,11,7.2
New Jersey,8938,1013,90,11.3
New Mexico,2030,406,33,20
New York,19658,2755,144,14
North Carolina,9823,1678,117,17.1
North Dakota,731,71,5,9.7
Ohio,11505,1792,109,15.6
Oklahoma,3728,647,51,17.3
Oregon,3955,570,47,14.4
Pennsylvania,12620,1581,104,12.5
Rhode Island,1046,119,14,11.3
South Carolina,4764,788,51,16.5
South Dakota,846,109,14,12.8
Tennessee,6496,1122,75,17.3
Texas,26676,4364,173,16.4
Utah,2928,298,36,10.2
Vermont,615,57,6,9.3
Virginia,8257,842,73,10.2
Washington,7079,852,82,12
West Virginia,1822,376,30,20.6
Wisconsin,5742,628,55,10.9
Wyoming,572,55,6,9.7
